person_id,id,name,role,character
2081848,tm96649,Mitch Greenhill,Actor,Guitarist
223450,tm188894,Younes Shalaby,Actor,منصور عبدالمعطي
475303,tm84618,Nicholas Shields,Actor,Palantine's Aide (uncredited)
65270,tm54371,Misha Ghoshal,Actor,N/A
390767,tm52352,Garth Trinidad,Actor,Self
1255589,tm14873,Diane Darnell,Actor,Mayor's Secretary (uncredited)
305408,tm945283,Tony Ho,Actor,Tofu
723862,ts25707,Yao Wenlong,Actor,Liu Yidao
990040,tm52352,Mear One,Actor,Self
7753,tm84618,Joe Spinell,Actor,Personell Officer
1569378,tm893480,Chika,Actor,N/A
86215,ts8570,Carey Stinson,Actor,Barney
16350,tm44204,Anthony Quinn,Actor,Col. Andrea Stavros
2220130,tm52352,Brian Cross,Actor,Self
139005,tm367613,Mime Gopi,Actor,N/A
227842,tm67378,Eddie Little Sky,Actor,Jake's Prisoner (uncredited)
1254838,tm14873,Richard Samuelson,Actor,Bus Kid (uncredited)
900894,tm677904,Beverly Naya,Actor,N/A
519616,tm84618,Brenda Dickson,Actor,Soap Opera Woman (uncredited)
1150352,ts57291,Ding Pei,Director,Director
524849,tm107372,Faryal,Actor,Lolita
11485,tm70993,John Case,Actor,Pilate's Wife
17421,tm84618,Debbi Morgan,Actor,Girl at Columbus Circle (uncredited)
1463018,tm127384,Scott Mike,Actor,Bash (Mudfighter (uncredited)
116987,ts78298,Iu,Actor,Lee Ji-an
218173,tm89386,Gert Westphal,Actor,Narrator (voice)
132270,tm356209,Shashikala,Actor,Shobha
11474,ts22164,Eric Idle,Actor,Various
471625,tm97793,Badr Noufal,Actor,Mr. Fath El Bab
64899,tm1159298,Lance Gross,Actor,N/A
227525,tm461827,Nico Romero,Actor,N/A
225931,tm204541,Faten Hamamah,Actor,Hamedah
557167,tm135083,Abdel Ghani Nagdi,Actor,Sa'idi traveller
2031886,tm1091823,Vidhu,Actor,N/A
2170080,tm81461,Mariana Olazabal,Actor,N/A
450171,tm190788,Thomas Bermingham,Actor,Tom
963918,tm1177856,Amiel Cayo,Actor,N/A
343532,tm14491,Mary Ellen Mark,Actor,Self
1671807,tm127384,Sylvia Taylor,Actor,Girl in Castle Anthrax
53947,tm988613,Richa Chadha,Actor,N/A
57763,tm94651,Prem Chopra,Actor,Mr. Daaga
16882,tm44204,George Mikell,Actor,SS Hauptman Sessler
14449,tm190788,Titos Vandis,Actor,Uncle John
223454,tm85426,Nazim Sharawy,Actor,القاضي
40903,tm127384,Mark Zycon,Actor,Prisoner
789172,tm92977,Gauri Malla,Actor,Mamta
83039,tm14873,Don Haggerty,Actor,Minor Role (uncredited)
464614,tm96649,Savannah Smith Boucher,Actor,Zee
434348,tm94651,K.N. Singh,Actor,Judge
41874,tm16479,Dean Jagger,Actor,General Waverly
26772,tm69778,Kinpei Azusa,Actor,Archbishop (voice)
564274,tm71909,Baburao Pendharkar,Actor,In the song Neel Gagan Ki
36499,tm67378,Woody Strode,Actor,Jake
63141,tm14873,John Larch,Actor,Chief
2235786,tm52352,Monalisa Murray,Actor,Self
30068,tm98978,William Daniels,Actor,Arthur Lestrange
83035,tm14873,Al Dunlap,Actor,Man in Jaffe's Cafe (uncredited)
80678,tm98978,Elva Josephson,Actor,Young Emmeline
16352,tm44204,Anthony Quayle,Actor,Maj. Roy Franklin
979781,ts110637,Manon Bresch,Actor,N/A
16337,tm988879,Tony Parker,Actor,N/A
103745,tm96649,John Bottoms,Actor,Mortician
509943,tm71909,Ruby Myers,Actor,Vaishali's Empress
795386,tm85426,Badr Nofal,Actor,المحامي خليفة خلف الله
31443,tm96649,Robert Carradine,Actor,Bob Younger
83031,tm14873,Joy Carlin,Actor,Communications Secretary (uncredited)
14908,tm127384,Roy Forge Smith,Actor,Inspector End of Film (uncredited)
1549,ts45948,John Cleese,Actor,Various Characters
14443,tm190788,William O'Malley,Actor,Father Joseph Dyer
22477,tm16479,Franklyn Farnum,Actor,Club Patron (uncredited)
2235782,tm52352,Fat Jack,Actor,Self
